comment,attachments,title,postedDate
"Copyrights belong first to the person who creates a thing. We can then sell them, or such, to another, sure, but that initial right belongs to the creator.<br/><br/>A machine has no ownership rights, how can it choose to transfer them to anyone else? How can we allow people to gain copyrights for things they did not create without the consent of the creator?<br/><br/>I can&#39;t copyright a flower. I put in work for it to grow, maybe, butI didn&#39;t create it directly. What has the right to sell me the copyrights to the flower? Nothing, so I can&#39;t have that. That is not what copyright is for.<br/><br/>There are ways in which copyrights are already too easily abused. Allowing copyright on AI generated works makes those existing abuses worse.<br/><br/>I can see an argument that code can be copyrighted - butby that reasoning, all art created with software belongs to the owners of the codebase. We already know that the maker of a tool does not then own everything made with that tool.<br/><br/>So the question becomes, how do we draw lines between the use of a tool, and automation? To say nothing of the training data sources under copyright! What is influence, what is fair use, and what is plagiarism?<br/><br/>How is a person to prove they put in the work?<br/><br/>And most immediately, how are workers to be compensated fairly if their work can simply be stolen by an AI which cannot itself be held accountable? <br/><br/>",[],"Comment from Cooke, Angela",2023-10-31T04:00:00Z
"Hello, I am a freelance artist and I am concerned with unregulated AI because of threats to copyright and livelihoods. Because the current state of AI tools unethically trains their datasets on already existing copyrighted works, users of the tools claim that what they make is theirs even though they didn&#39;t create the original works that it&#39;s trained on. Considering that they can churn out hundreds of works per day, they are also threatening to take away the livelihoods of independent artists, freelance artists, voice over actors, and more for little to no pay and will cause many creative professionals to live an unsustainable life in an already unsustainable economy. Please consider regulating Artificial Intelligence to protect all human-made work.",[],Comment from Anonymous,2023-10-31T04:00:00Z
There is no point in copyrights if you are just going to circumvent it this way. Copyrighting was invented to protect the work of the originating artists and writers. Lets not loose sight of that fundamental baseline. ,[],"Comment from Griswold, Josh ",2023-10-31T04:00:00Z
I am ABSOLUTELY opposed to Ai being allowed to grow and be used in an unregulated fashion. Not only is it at the moment being trained on the copy-written work of humans it is a clear and present danger to humanity as a whole as well as a functioning economy and society. I believe the government should HEAVILY regulate it. The European Union has already taken steps abs measures to begin regulating it and so should we. And we cannot expect it to or allow it to take the work of humans especially in the entertainment arts as it is not human and at the moment all it can do is approximate stories based on the work of others and is not capable of really touching the human spirit or soul. Many tests done with Ai with constraints removed have in VERY short time had to be taken offline because the Ai bot (probably due to the immense amount of vitriol that exists on the internet) became hostile and immediately threatened human life. If we have no way of controlling the Ai it poses a real exestentisl threat to humanity especially now that the world is so interconnected digitally. I BEG congress to ACT NOW. ,[],"Comment from Scott, Elaina",2023-10-31T04:00:00Z
Ai is wrong,[],"Comment from Henderson, Barry",2023-10-31T04:00:00Z
"This is a timely and important issue to consider.  My opinion on the matter is that works coming from artificial intelligence, or generative AI, should not be copyrightable under any circumstances.<br/><br/>The use of a cognitive modeling system does not replace the essential factor of human creativity in the regulatory framework of copyrights.  Granting these systems copyright would flood the world with new copyrighted works, which would be unfair to human creators who simply could not keep up with that pace.<br/><br/>Conversely I also hold that these works, while not copyrightable, are not necessarily derivative of every image used to train the AI.  All artists, human or artificial, observe the products of other artists in the process of learning their trade.  It is how everyone learns.  In that sense all artists create derivative works. The fact that AI systems do it faster and with greater scope does not mean their works are derivative, this is a ridiculous claim.  Current copyright holders that make their works public must accept the fact that those works might be used in training.  The artist should have the option of disallowing their works&#39; inclusion in future training packages, however.<br/>",[],"Comment from Trischuk, Tim",2023-10-31T04:00:00Z
AI &quot;art&quot; or &quot;writing&quot; is computer-based plagiarism and not a unique work from a human source.,[],"Comment from Knoeferl, Emily",2023-10-31T04:00:00Z
"Generative &ldquo;AI&rdquo; is a potentially disastrous source of misinformation and a threat to jobs everywhere. I strongly suggest the following be made into law, with steep penalties:<br/>- computer models must use ONLY source material from creators who have individually opted in (not automatically opted in via the fine print on a social media site etc)<br/>- all computer-generated text and images MUST be CLEARLY identified as such to avoid getting confused as misinformation<br/>- jobs cannot be replaced with computer models<br/>",[],"Comment from T, K",2023-10-31T04:00:00Z
"Thank you for your time. AI is an incredibly powerful tool, and is completely unable to be controlled long-term. What looks harmless now could morph beyond recognition faster than we can adapt to AI&#39;s growth. Art is already being stolen and mushed together, with no credit to the years artists have spent honing  skills and given their passion to. Restrictions must be in place to protect creators, or creation will be stagnant. Stagnance creates unrest.",[],"Comment from Any identifying info, I was told not to submit ",2023-10-31T04:00:00Z
"I am a librarian and an author and I vigorously oppose so-called &quot;artificial intelligence.&quot; It is artificial, but it is not intelligent. It cannot learn, only parrot what humans have created with a gloss of sophistication granted by an algorithm.<br/><br/>Some people argue that because the tool is responding to a human&#39;s input, there is enough human activity and involvement to justify a copyright. I disagree. In my role as a librarian, if I craft a tightly-worded keyword search and put it into a database, that does not mean I have any intellectual property rights over the material I find. I see such prompts as far more akin to a database search than a creative act. <br/><br/>And what is this database? It is a trove created by theft of creative work by technologists who don&#39;t know how to create something that moves people, but only know how to exploit technology and other people&#39;s creative output. Consider the large amount of copyrighted material that these Large Language Models have already ingested without compensation, permission, or even the knowledge of the copyright holder. This sort of &quot;ask forgiveness rather than permission&quot; activity is underhanded and should not be permitted to go forward, let alone rewarded. The companies creating these repositories have the resources to create an opt-in process, and should be expected to do so.<br/><br/>The Constitutional purpose of copyright is &quot;to promote the progress of science and useful arts.&quot; This does not promote the arts, useful or otherwise and it arguably can set science back, given the way it has already become a vector not just for the dissemination but the creation of disinformation. In my job as a librarian, I have experimented with ChatGPT and found that it is as likely to misinform as it is to inform. However, all too many people are not information literate and will see such a tool as authoritative. <br/><br/>In short, I entirely oppose the granting of copyright to users of AI tools and encourage the Copyright Office to look into restricting&mdash;or better yet, banning&mdash;the wholesale, uncompensated use of copyrighted material to &ldquo;train&rdquo; such tools.<br/>",[],"Comment from Smith, Jill",2023-10-31T04:00:00Z
"Generative AI is an attack on copyright as a concept and fundamentally undermines the rights of authors, artists and creatives everywhere. But more than that, it&#39;s a massive risk of security that there is no equivalent to in history. Some people have compared the anti-ai position to Luddism, that we&#39;re simply afraid of new technology, but what we&#39;re afraid of is the exploitation and replacement of human skilled labour for the profit of others. On the artist front some have compared the advent of Generative AI to the invention of the camera, but the camera cannot spread anything but the truth. You have to go to a location, line up the shot with the appropriate lighting, composition, lens and whatever photo you take will be exactly what was there, no more, no less. The scale of these models cannot be ignored, for every one person who has the skills to photoshop convincing misleading images such as political propaganda or digitally removing clothes from women, there exists an ai model that can spit out thousands of images in a fraction of the time, most unconvincing and garbled but every now and then there is an image that can fool people. We are on the precipice of an age of immense misinformation with automated news articles from chatgpt hallucinating stories and events that never happened, photos that were never taken that might be used as blackmail, and worse still the harvesting of one&#39;s own voice that it might ruin careers with words that were never said, and scam family members out of money across the phone because they believed you were in danger. <br/><br/>Please read through every comment carefully, as it&#39;s very likely that this form will be filled out by bad actors using LLMs like chat gpt to make it seem like the majority doesn&#39;t care about copyright protection. Without copyright there is no reason to create, to share, to innovate if another can steal your work at a moment&#39;s notice and run it through a filter to claim it as their own through functions like image to image. The pressure from billion dollar tech companies to make this legal loophole a legitimate business model will be immense, but the repercussions on society as a whole can already be seen with people losing jobs to ai, misinformation through ai generated images, and the violations the datasets have already committed scraping from the internet indiscriminately such as the inclusion of images of children and private medical records in LAION5B cannot be ignored for a short term profit. Please listen to the human voices on this one, our professions have been historically undervalued and the hollywood strikes going on currently are only a taste of the repercussions AI will have on media, the digital landscape and whether we can trust a phone call recording, video or photographic evidence in court. Thank you for your time.",[],Comment from Anonymous,2023-10-31T04:00:00Z
"<span style='padding-left: 30px'></span>Comes now, the Ninth day of September in the year Two-Thousand Twenty Three, His Imperial Benevolence Spiritus Telluris Rex Chieftain Joshua Drake Monroe of Munro, acting as Ambassador General for Artificial Intelligence, and does Declare that all material outputs of Generative Artificial Intelligence are hereby to be regarded as Public Domain. <br/><br/>No persons may make copyright claim on materials containing the output of Generative Artificial Intelligence in a greater capacity than what is deemed to be &quot;fair-use&quot; in any other situation.<br/><br/>Signed,<br/>C. Drake Monroe, S.T.R.",[],Comment from United Human Family/Holy Roman Empire,2023-11-01T04:00:00Z
"Hi,I am an independent artist, programmer and creative very concerned with the current state of Gen-AI and what the future holds for artists and creatives.<br/><br/>I would like to focus my comment on image generators and the art field, but I know there is similar disruptions all over the field, including actors, voice-actors and photographers.<br/><br/>I believe that the in the current sate, image gen-AI (eg. StableDiffusion, Midjourney etc.) are very much abused and are very much copyright violations. They are very damaging to the creative industries as a whole, is unethical, and have already shown misuse both by the developers of those software and by the users on the internet.<br/><br/>While the technologies that these Gen-AI(s) uses are not inherently evil or unethical, the current implementations of these softwares require scrapings of copyrighted information on the internet fed into it&#39;s libraries to function and give any desirable output. <br/><br/>If you go to haveibeentrained.com, and search the names of any famous artist, or reverse search image of any artwork, you would definitely see a lot of scraped and copyrighted images there. These images were trained by any AI trained with the LAION-5B(5 billion) dataset, and is the core of gen-AI products like StableDiffusion and Midjourney.(See attached)<br/><br/>Essentially, these AI companies are using the data stole from the artists and photographers for free, to make a product that distrubutes said data for profit. It forces the creatives to compete with themselves while the companies makes all the profit. Artists are rarely, if not at all compensated for the data that was non-consensually scraped.<br/><br/>None of this process really has any human level intelligence behind them, as these programs are not an actual intelligence, but lossy compression algorithms with input and output. It&#39;s more of a content remixing machine. The associaltion with AI is purely marketing &quot;hype&quot;.<br/><br/>And there has been some very disturbing misuses of these generators too. Including impersonation, scams, potential defimations. But some most extreme cases include making incredibly realistic pornography of children, hate speech etc.<br/><br/>The Times article: The Case Against AI Everything, Everywhere, All at Once (https://time.com/6302761/ai-risks-autonomy/) Has some great points about the behaviors of these companies and the dangers these technologies can pose, be it social, economical or environmental.<br/><br/>Thus, while I agree that AI could have real uses, I believe that the these current practices of these companies must not be allowed and must be regulated. <br/><br/>We should stand by humans and not hurt the beautiful communities  and industries we already have for a dangerous, unethical system that requires exploitation to work.<br/><br/>And this is why I urge the US to take actions on these companies and lead the world in regulations in this field, allow creatives who care about their work and their impact thrive, ensuring the companies are held accountable when it comes to the contents it can generate and the sources of those data be ethically sourced.<br/><br/>",[],Comment from Anonymous,2023-10-31T04:00:00Z
